   78.5539    52.1276    80.4736     1.2112    -0.9055    -0.4034 12630.7402 
   32.8854    72.6713    45.0043    -0.5271    -0.3835     1.7850  3487.3289 
   32.6527    51.8064     1.5651     1.7266     0.5722     0.5707 15215.2363 
   47.7276    67.3885    24.3144    -0.8961     1.6888     1.4266  9052.7119 
   73.8937    72.3512    15.9375     0.0979    -1.0208     1.8564  8181.9961 
   51.8411    36.3251    83.2509     1.3891    -1.6401    -0.8698  5387.2866 
   49.4092    22.8810    35.4985     1.2825     0.9875    -0.5175 18806.7363 
   38.9934     1.3320    36.0879     1.4688     0.7488     0.4161  3579.4341 
   60.9408    46.0667    50.5286    -0.6066    -1.2633     0.6586 21820.5332 
   42.8967    62.8773    20.0101     1.7895     1.9681    -1.8696 19866.0508 
    8.1989    31.5163     1.0133     0.3043     0.1759    -0.5395  9917.4912 
   29.0847    73.5754    14.8969     0.7231     0.9963     0.0394 13699.7773 
   43.6278    11.3871    69.1168    -1.8173     0.2982    -1.2142  9850.7871 
   75.8716    86.1115    26.6853    -1.2493    -0.0404    -0.1322  3376.5278 
   48.1913    49.9564    92.9703     0.2556     1.2589     1.7593  3499.5452 
   35.8700    30.4955    53.6681     0.5982    -1.8372     0.7426  8258.1865 
   78.9782    19.5499    87.8319    -1.0958    -0.7625     0.2779  6793.6475 
   88.3907    76.5941    66.5777     0.5705     0.5082     1.7305 20757.6660 
   11.6945    39.9584    96.5368     0.3954     1.5966     1.5803  4068.9749 
   71.3876    83.4908    30.2741    -1.7097    -1.4406     1.3577 18053.0391 
   18.0571    52.5073     5.2449     1.8814     0.8823     1.7231  4910.3198 
    2.9941    50.0255    46.8159     1.6554    -0.9352    -1.4643 13911.7822 
   89.3253     6.6566    38.6778    -1.9592    -0.1354    -0.5914 15226.3848 
   36.5299    24.7217    77.1814    -1.6833    -1.6715    -1.7018  3793.7402 
   22.1987    91.3977    87.3871    -0.3898    -0.2438     1.7053  9322.7666 
   15.9622    85.7088    56.9323    -1.2417    -0.5706    -1.8501  2585.2676 
   62.3538    17.1418    65.9882     0.0672    -1.0481    -1.8134 13174.7129 
   70.4135    39.8806    13.6044    -1.7223     0.5841     1.6314  3715.1885 
   72.8147    98.2413    30.0357     1.8005     1.5856    -1.3031  8817.2715 
   33.5441    10.0549    72.5602    -0.0197     1.8305    -0.8203 17115.6445 
   31.4979    33.2407    78.8036     1.7541     0.0153    -0.2083 11382.6973 
   74.1810    49.4578    98.2296    -0.2162     1.5735    -1.5266 12884.4316 
